id	category	user_question	search_round_questions	standard_answer	expected_paths	required_quote	allowed_search_terms	expected_match_ids	max_expansions	stop_condition	review_status	reviewer
Q011	file-path-symbol	哪个 RTL 文件定义了 VX_core 模块？	"[""哪个 RTL 文件定义了 VX_core 模块？""]"	VX_core 模块定义在 hw/rtl/core/VX_core.sv。	hw/rtl/core/VX_core.sv	module VX_core import VX_gpu_pkg::*; #(	VX_core;module	V038	1	找到模块声明及其Path即可停止	SOURCE_VERIFIED	Codex/source-check
Q012	file-path-symbol	哪个 RTL 文件定义了 VX_csr_data 模块？	"[""哪个 RTL 文件定义了 VX_csr_data 模块？""]"	VX_csr_data 模块定义在 hw/rtl/core/VX_csr_data.sv。	hw/rtl/core/VX_csr_data.sv	module VX_csr_data	VX_csr_data;module	V039	1	找到模块声明及其Path即可停止	SOURCE_VERIFIED	Codex/source-check
Q013	file-path-symbol	哪个 RTL 文件定义了 VX_cta_dispatch 模块？	"[""哪个 RTL 文件定义了 VX_cta_dispatch 模块？""]"	VX_cta_dispatch 模块定义在 hw/rtl/core/VX_cta_dispatch.sv。	hw/rtl/core/VX_cta_dispatch.sv	module VX_cta_dispatch import VX_gpu_pkg::*; #(	VX_cta_dispatch;module	V040	1	找到模块声明及其Path即可停止	SOURCE_VERIFIED	Codex/source-check
Q014	file-path-symbol	哪个 RTL 文件定义了 VX_decode 模块？	"[""哪个 RTL 文件定义了 VX_decode 模块？""]"	VX_decode 模块定义在 hw/rtl/core/VX_decode.sv。	hw/rtl/core/VX_decode.sv	module VX_decode import	VX_decode;module	V041	1	找到模块声明及其Path即可停止	SOURCE_VERIFIED	Codex/source-check
Q015	file-path-symbol	哪个 RTL 文件定义了 VX_execute 模块？	"[""哪个 RTL 文件定义了 VX_execute 模块？""]"	VX_execute 模块定义在 hw/rtl/core/VX_execute.sv。	hw/rtl/core/VX_execute.sv	module VX_execute import VX_gpu_pkg::*; #(	VX_execute;module	V042	1	找到模块声明及其Path即可停止	SOURCE_VERIFIED	Codex/source-check
Q016	chinese-natural-language	Vortex 对 RISC-V A 扩展的原子内存操作支持覆盖哪些内容？	"[""Vortex 对 RISC-V A 扩展的原子内存操作支持覆盖哪些内容？""]"	"**Scope:** the Vortex implementation of the RISC-V ""A"" extension (atomic memory operations: `LR`/`SC` and `AMOSWAP/ADD/AND/OR/XOR/MIN/MAX` with signed/unsigned min-max, `.W` and `.D` widths). Covers the RTL ([`hw/rtl/cache/VX_amo_unit.sv`](../../hw/rtl/cache/VX_amo_unit.sv), [`VX_amo_alu.sv`](../../hw/rtl/cache/VX_amo_alu.sv) + the cache-bank / LSU integration) and the SimX model ([`sim/simx/amo/`](../../sim/simx/amo/))."	docs/designs/atomic_memory_operations.md	"**Scope:** the Vortex implementation of the RISC-V ""A"" extension (atomic memory operations: `LR`/`SC` and `AMOSWAP/ADD/AND/OR/XOR/MIN/MAX` with signed/unsigned min-max, `.W` and `.D` widths). Covers the RTL ([`hw/rtl/cache/VX_amo_unit.sv`](../../hw/rtl/cache/VX_amo_unit.sv), [`VX_amo_alu.sv`](../../hw/rtl/cache/VX_amo_alu.sv) + the cache-bank / LSU integration) and the SimX model ([`sim/simx/amo/`](../../sim/simx/amo/))."	atomic memory;LR SC;AMO	V007	1	证据足以直接回答问题即可停止	SOURCE_VERIFIED	Codex/source-check
Q017	chinese-natural-language	Vortex 的缓存 flush 在这里具体指什么？	"[""Vortex 的缓存 flush 在这里具体指什么？""]"	The cache flush machinery implements whole-cache invalidate-and-writeback plus the reset-time tag initialization. SimX models flush as a one-line `flush_begin()` walk; this document covers the RTL.	docs/designs/cache_flush_architecture.md	The cache flush machinery implements whole-cache invalidate-and-writeback plus the reset-time tag initialization. SimX models flush as a one-line `flush_begin()` walk; this document covers the RTL.	cache flush;invalidate;writeback	V008	1	证据足以直接回答问题即可停止	SOURCE_VERIFIED	Codex/source-check
Q018	chinese-natural-language	Vortex 缓存子系统的主要特性在哪里说明？	"[""Vortex 缓存子系统的主要特性在哪里说明？""]"	The Vortex cache subsystem has the following main properties:	docs/designs/cache_subsystem.md	The Vortex cache subsystem has the following main properties:	cache subsystem;cache geometry	V009	1	证据足以直接回答问题即可停止	SOURCE_VERIFIED	Codex/source-check
Q019	chinese-natural-language	Vortex Command Processor 的控制平面由哪些部分组成？	"[""Vortex Command Processor 的控制平面由哪些部分组成？""]"	**Scope:** the Vortex Command Processor control plane — the hardware ([`hw/rtl/cp/`](../../hw/rtl/cp/)), its functional twin used by the simulators ([`sim/common/cmd_processor.cpp`](../../sim/common/cmd_processor.cpp)), and the async runtime that drives it ([`sw/runtime/include/vortex2.h`](../../sw/runtime/include/vortex2.h)).	docs/designs/command_processor.md	**Scope:** the Vortex Command Processor control plane — the hardware ([`hw/rtl/cp/`](../../hw/rtl/cp/)), its functional twin used by the simulators ([`sim/common/cmd_processor.cpp`](../../sim/common/cmd_processor.cpp)), and the async runtime that drives it ([`sw/runtime/include/vortex2.h`](../../sw/runtime/include/vortex2.h)).	Command Processor;control plane	V010	1	证据足以直接回答问题即可停止	SOURCE_VERIFIED	Codex/source-check
Q020	chinese-natural-language	Vortex 如何支持 RISC-V 压缩指令？	"[""Vortex 如何支持 RISC-V 压缩指令？""]"	"**Scope:** Vortex support for the RISC-V ""C"" (compressed) extension — the front-end decompressor that expands 16-bit instructions to 32-bit, in both RTL ([`hw/rtl/core/VX_decompressor.sv`](../../hw/rtl/core/VX_decompressor.sv)) and SimX ([`sim/simx/decompressor.{cpp,h}`](../../sim/simx/decompressor.cpp))."	docs/designs/compressed_instruction_support.md	"**Scope:** Vortex support for the RISC-V ""C"" (compressed) extension — the front-end decompressor that expands 16-bit instructions to 32-bit, in both RTL ([`hw/rtl/core/VX_decompressor.sv`](../../hw/rtl/core/VX_decompressor.sv)) and SimX ([`sim/simx/decompressor.{cpp,h}`](../../sim/simx/decompressor.cpp))."	compressed instruction;decompressor	V011	1	证据足以直接回答问题即可停止	SOURCE_VERIFIED	Codex/source-check
Q021	chinese-natural-language	Vortex 的 CTA 是怎样生成并分派到核心的？	"[""Vortex 的 CTA 是怎样生成并分派到核心的？""]"	**Scope:** how cooperative-thread-arrays (CTAs / threadblocks) are generated by the KMU and dispatched to cores, and the **clustering** mechanism that places the K CTAs of a cluster contiguously in local memory so they can cooperate (notably for DXA multicast). Covers the RTL ([`hw/rtl/VX_kmu.sv`](../../hw/rtl/VX_kmu.sv), [`hw/rtl/core/VX_cta_dispatch.sv`](../../hw/rtl/core/VX_cta_dispatch.sv)), the SimX model ([`sim/simx/kmu/`](../../sim/simx/kmu/), [`sim/simx/cta_dispatcher.cpp`](../../sim/simx/cta_dispatcher.cpp)), and the SW surface.	docs/designs/cta_clustering_and_dispatch.md	**Scope:** how cooperative-thread-arrays (CTAs / threadblocks) are generated by the KMU and dispatched to cores, and the **clustering** mechanism that places the K CTAs of a cluster contiguously in local memory so they can cooperate (notably for DXA multicast). Covers the RTL ([`hw/rtl/VX_kmu.sv`](../../hw/rtl/VX_kmu.sv), [`hw/rtl/core/VX_cta_dispatch.sv`](../../hw/rtl/core/VX_cta_dispatch.sv)), the SimX model ([`sim/simx/kmu/`](../../sim/simx/kmu/), [`sim/simx/cta_dispatcher.cpp`](../../sim/simx/cta_dispatcher.cpp)), and the SW surface.	CTA;KMU;dispatch	V012	1	证据足以直接回答问题即可停止	SOURCE_VERIFIED	Codex/source-check
Q022	chinese-natural-language	给 Vortex 添加自定义加速器时，SIMT 参数传递为什么是关键问题？	"[""给 Vortex 添加自定义加速器时，SIMT 参数传递为什么是关键问题？""]"	**Scope:** how to add a fixed-function accelerator to Vortex and give it a *good* SIMT-visible ISA. The hard part is almost never the accelerator's datapath — it is the **interface**: how a warp passes arguments in and gets results out, cheaply. This guide captures the patterns that make a custom `CUSTOM*` opcode efficient and the mistakes that make one expensive. It applies to any accelerator — a tensor core, a DMA/copy engine, a codec, a crypto unit, a sort/scan unit, a traversal engine.	docs/designs/custom_accelerator_isa_extensions.md	**Scope:** how to add a fixed-function accelerator to Vortex and give it a *good* SIMT-visible ISA. The hard part is almost never the accelerator's datapath — it is the **interface**: how a warp passes arguments in and gets results out, cheaply. This guide captures the patterns that make a custom `CUSTOM*` opcode efficient and the mistakes that make one expensive. It applies to any accelerator — a tensor core, a DMA/copy engine, a codec, a crypto unit, a sort/scan unit, a traversal engine.	custom accelerator;argument;SIMT	V013	1	证据足以直接回答问题即可停止	SOURCE_VERIFIED	Codex/source-check
Q023	chinese-natural-language	DXA 在 Vortex 中承担什么工作？	"[""DXA 在 Vortex 中承担什么工作？""]"	**Scope:** the Vortex DXA engine — an NVIDIA-Hopper-TMA-style asynchronous bulk-copy and multicast unit. Covers the RTL ([`hw/rtl/dxa/`](../../hw/rtl/dxa/)), the SimX model ([`sim/simx/dxa/`](../../sim/simx/dxa/)), and the SW surface ([`sw/kernel/include/vx_dxa.h`](../../sw/kernel/include/vx_dxa.h), [`sw/runtime/include/dxa.h`](../../sw/runtime/include/dxa.h)).	docs/designs/dxa_async_copy_multicast.md	**Scope:** the Vortex DXA engine — an NVIDIA-Hopper-TMA-style asynchronous bulk-copy and multicast unit. Covers the RTL ([`hw/rtl/dxa/`](../../hw/rtl/dxa/)), the SimX model ([`sim/simx/dxa/`](../../sim/simx/dxa/)), and the SW surface ([`sw/kernel/include/vx_dxa.h`](../../sw/kernel/include/vx_dxa.h), [`sw/runtime/include/dxa.h`](../../sw/runtime/include/dxa.h)).	DXA;async copy;multicast	V014	1	证据足以直接回答问题即可停止	SOURCE_VERIFIED	Codex/source-check
Q024	chinese-natural-language	Vortex 浮点单元覆盖哪些精度和后端？	"[""Vortex 浮点单元覆盖哪些精度和后端？""]"	**Scope:** logical/architectural design of the in-house Vortex floating-point unit, covering **both single-precision (F32) and double-precision (F64)** across the two native backends — `VX_fpu_std` (generic RTL / ASIC) and `VX_fpu_dsp` (FPGA vendor-DSP inference). The arithmetic leaf units ([VX_fma_unit.sv](../../hw/rtl/fpu/VX_fma_unit.sv), [VX_fdivsqrt_unit.sv](../../hw/rtl/fpu/VX_fdivsqrt_unit.sv), [VX_fcvt_unit.sv](../../hw/rtl/fpu/VX_fcvt_unit.sv), [VX_fncp_unit.sv](../../hw/rtl/fpu/VX_fncp_unit.sv)) are format-parameterized and shared by both backends. The implementation is Verilog, but the design — which op classes get dedicated vs shared datapaths, how F32 and F64 coexist, how formats are unpacked/rounded — is implementation-agnostic.	docs/designs/floating_point_unit.md	**Scope:** logical/architectural design of the in-house Vortex floating-point unit, covering **both single-precision (F32) and double-precision (F64)** across the two native backends — `VX_fpu_std` (generic RTL / ASIC) and `VX_fpu_dsp` (FPGA vendor-DSP inference). The arithmetic leaf units ([VX_fma_unit.sv](../../hw/rtl/fpu/VX_fma_unit.sv), [VX_fdivsqrt_unit.sv](../../hw/rtl/fpu/VX_fdivsqrt_unit.sv), [VX_fcvt_unit.sv](../../hw/rtl/fpu/VX_fcvt_unit.sv), [VX_fncp_unit.sv](../../hw/rtl/fpu/VX_fncp_unit.sv)) are format-parameterized and shared by both backends. The implementation is Verilog, but the design — which op classes get dedicated vs shared datapaths, how F32 and F64 coexist, how formats are unpacked/rounded — is implementation-agnostic.	FPU;F32;F64	V015	1	证据足以直接回答问题即可停止	SOURCE_VERIFIED	Codex/source-check
Q025	chinese-natural-language	Vortex 图形硬件栈包含哪些固定功能模块？	"[""Vortex 图形硬件栈包含哪些固定功能模块？""]"	**Scope:** the Vortex graphics fixed-function (FF) hardware — the rasterizer (RASTER), the texture sampler (TEX), and the output-merger / ROP (OM) — plus the SIMT-side plumbing that binds them (the fragment dispatch path and the shared graphics register window). Covers the RTL ([`hw/rtl/raster/`](../../hw/rtl/raster/), [`hw/rtl/tex/`](../../hw/rtl/tex/), [`hw/rtl/om/`](../../hw/rtl/om/), [`hw/rtl/VX_graphics.sv`](../../hw/rtl/VX_graphics.sv)), the SimX models ([`sim/simx/raster/`](../../sim/simx/raster/), [`sim/simx/tex/`](../../sim/simx/tex/), [`sim/simx/om/`](../../sim/simx/om/)), and the kernel ABI.	docs/designs/graphics_hardware_stack.md	**Scope:** the Vortex graphics fixed-function (FF) hardware — the rasterizer (RASTER), the texture sampler (TEX), and the output-merger / ROP (OM) — plus the SIMT-side plumbing that binds them (the fragment dispatch path and the shared graphics register window). Covers the RTL ([`hw/rtl/raster/`](../../hw/rtl/raster/), [`hw/rtl/tex/`](../../hw/rtl/tex/), [`hw/rtl/om/`](../../hw/rtl/om/), [`hw/rtl/VX_graphics.sv`](../../hw/rtl/VX_graphics.sv)), the SimX models ([`sim/simx/raster/`](../../sim/simx/raster/), [`sim/simx/tex/`](../../sim/simx/tex/), [`sim/simx/om/`](../../sim/simx/om/)), and the kernel ABI.	RASTER;TEX;OM	V016	1	证据足以直接回答问题即可停止	SOURCE_VERIFIED	Codex/source-check
Q026	chinese-natural-language	Vortex 图形软件栈从应用到硬件包含哪些层次？	"[""Vortex 图形软件栈从应用到硬件包含哪些层次？""]"	**Scope:** a map of *where every graphics-related source lives* across the two repositories that make up the Vortex graphics stack, and how they compose from the Vulkan application down to the hardware. Covers the **mesa_vortex** vortexpipe driver and the **Vortex platform** (this tree: SDK software, SimX models, RTL). This is an orientation/index document; the per-layer detail lives in the companion docs.	docs/designs/graphics_software_stack.md	**Scope:** a map of *where every graphics-related source lives* across the two repositories that make up the Vortex graphics stack, and how they compose from the Vulkan application down to the hardware. Covers the **mesa_vortex** vortexpipe driver and the **Vortex platform** (this tree: SDK software, SimX models, RTL). This is an orientation/index document; the per-layer detail lives in the companion docs.	graphics software;Vulkan;hardware	V017	1	证据足以直接回答问题即可停止	SOURCE_VERIFIED	Codex/source-check
Q027	chinese-natural-language	一个 Vortex 二进制如何容纳多个命名 kernel？	"[""一个 Vortex 二进制如何容纳多个命名 kernel？""]"	**Scope:** how a Vortex kernel binary is entered — the unified CTA prologue, the `.weak kernel_main` model, and the multi-entry `.vxbin` symbol-table mechanism that lets one binary hold several named kernels (the device-side foundation for PoCL / multi-kernel programs). Covers [`sw/kernel/src/vx_start.S`](../../sw/kernel/src/vx_start.S), [`sw/kernel/scripts/vxbin.py`](../../sw/kernel/scripts/vxbin.py), the link scripts, and [`sw/runtime/common/module.cpp`](../../sw/runtime/common/module.cpp).	docs/designs/kernel_entry_and_dispatch.md	**Scope:** how a Vortex kernel binary is entered — the unified CTA prologue, the `.weak kernel_main` model, and the multi-entry `.vxbin` symbol-table mechanism that lets one binary hold several named kernels (the device-side foundation for PoCL / multi-kernel programs). Covers [`sw/kernel/src/vx_start.S`](../../sw/kernel/src/vx_start.S), [`sw/kernel/scripts/vxbin.py`](../../sw/kernel/scripts/vxbin.py), the link scripts, and [`sw/runtime/common/module.cpp`](../../sw/runtime/common/module.cpp).	vxbin;kernel entry;symbol table	V018	1	证据足以直接回答问题即可停止	SOURCE_VERIFIED	Codex/source-check
Q028	chinese-natural-language	Vortex LSU 的 RTL 设计由哪些主要模块构成？	"[""Vortex LSU 的 RTL 设计由哪些主要模块构成？""]"	**Scope:** logical/architectural design embodied by the RTL LSU ([VX_lsu_slice.sv](../../hw/rtl/core/VX_lsu_slice.sv) + [VX_mem_scheduler.sv](../../hw/rtl/libs/VX_mem_scheduler.sv)). The implementation is Verilog, but the design itself — pipeline structure, queueing discipline, response tracking — is implementation-agnostic and could be reproduced in C++ or any other substrate.	docs/designs/lsu_pipeline_design.md	**Scope:** logical/architectural design embodied by the RTL LSU ([VX_lsu_slice.sv](../../hw/rtl/core/VX_lsu_slice.sv) + [VX_mem_scheduler.sv](../../hw/rtl/libs/VX_mem_scheduler.sv)). The implementation is Verilog, but the design itself — pipeline structure, queueing discipline, response tracking — is implementation-agnostic and could be reproduced in C++ or any other substrate.	LSU;VX_lsu_slice;VX_mem_scheduler	V019	1	证据足以直接回答问题即可停止	SOURCE_VERIFIED	Codex/source-check
Q029	chinese-natural-language	Vortex 如何让 AMO、flush 等属性通过共享内存总线传递？	"[""Vortex 如何让 AMO、flush 等属性通过共享内存总线传递？""]"	**Scope:** the opaque per-request **memory-bus attribute** system (`mem_bus_attr_t`) that lets feature-specific sidebands (AMO, flush, IO/LMEM routing) ride the shared memory fabric without contaminating the reusable library IP. This is what keeps [`hw/rtl/libs/VX_mem_scheduler.sv`](../../hw/rtl/libs/VX_mem_scheduler.sv) and [`VX_mem_coalescer.sv`](../../hw/rtl/libs/VX_mem_coalescer.sv) feature-agnostic.	docs/designs/memory_fabric_attributes.md	**Scope:** the opaque per-request **memory-bus attribute** system (`mem_bus_attr_t`) that lets feature-specific sidebands (AMO, flush, IO/LMEM routing) ride the shared memory fabric without contaminating the reusable library IP. This is what keeps [`hw/rtl/libs/VX_mem_scheduler.sv`](../../hw/rtl/libs/VX_mem_scheduler.sv) and [`VX_mem_coalescer.sv`](../../hw/rtl/libs/VX_mem_coalescer.sv) feature-agnostic.	mem_bus_attr_t;memory bus;sideband	V020	1	证据足以直接回答问题即可停止	SOURCE_VERIFIED	Codex/source-check
Q030	chinese-natural-language	Vortex 使用什么 GPU 执行模型？	"[""Vortex 使用什么 GPU 执行模型？""]"	Vortex uses the SIMT (Single Instruction, Multiple Threads) execution model with a single warp issued per cycle.	docs/designs/microarchitecture.md	Vortex uses the SIMT (Single Instruction, Multiple Threads) execution model with a single warp issued per cycle.	SIMT;warp	V021	1	证据足以直接回答问题即可停止	SOURCE_VERIFIED	Codex/source-check
Q031	late-file	Building the Vortex Toolchain from Source 文档后部是否包含“Packaging and installing prebuilt bundles”这一部分？	"[""Building the Vortex Toolchain from Source 文档后部是否包含“Packaging and installing prebuilt bundles”这一部分？""]"	是，文档后部包含“Packaging and installing prebuilt bundles”部分。	docs/building_toolchain.md	Packaging and installing prebuilt bundles	Packaging and installing prebuilt bundles;building_toolchain	V003	2	找到文档后部对应标题即可停止	SOURCE_VERIFIED	Codex/source-check
Q032	late-file	Debugging Vortex GPU 文档后部是否包含“SAIF trace for power analysis”这一部分？	"[""Debugging Vortex GPU 文档后部是否包含“SAIF trace for power analysis”这一部分？""]"	是，文档后部包含“SAIF trace for power analysis”部分。	docs/debugging.md	SAIF trace for power analysis	SAIF trace for power analysis;debugging	V006	2	找到文档后部对应标题即可停止	SOURCE_VERIFIED	Codex/source-check
Q033	late-file	Atomic Memory Operations (RVA) — Design 文档后部是否包含“7. Source proposals”这一部分？	"[""Atomic Memory Operations (RVA) — Design 文档后部是否包含“7. Source proposals”这一部分？""]"	是，文档后部包含“7. Source proposals”部分。	docs/designs/atomic_memory_operations.md	7. Source proposals	7. Source proposals;atomic_memory_operations	V007	2	找到文档后部对应标题即可停止	SOURCE_VERIFIED	Codex/source-check
Q034	late-file	Vortex Cache Flush Architecture 文档后部是否包含“5. Relationship to line-granular invalidation”这一部分？	"[""Vortex Cache Flush Architecture 文档后部是否包含“5. Relationship to line-granular invalidation”这一部分？""]"	是，文档后部包含“5. Relationship to line-granular invalidation”部分。	docs/designs/cache_flush_architecture.md	5. Relationship to line-granular invalidation	5. Relationship to line-granular invalidation;cache_flush_architecture	V008	2	找到文档后部对应标题即可停止	SOURCE_VERIFIED	Codex/source-check
Q035	late-file	Vortex Cache Subsystem 文档后部是否包含“Configuration parameters”这一部分？	"[""Vortex Cache Subsystem 文档后部是否包含“Configuration parameters”这一部分？""]"	是，文档后部包含“Configuration parameters”部分。	docs/designs/cache_subsystem.md	Configuration parameters	Configuration parameters;cache_subsystem	V009	2	找到文档后部对应标题即可停止	SOURCE_VERIFIED	Codex/source-check
Q036	late-file	Command Processor (CP) — Design 文档后部是否包含“11. Source proposals”这一部分？	"[""Command Processor (CP) — Design 文档后部是否包含“11. Source proposals”这一部分？""]"	是，文档后部包含“11. Source proposals”部分。	docs/designs/command_processor.md	11. Source proposals	11. Source proposals;command_processor	V010	2	找到文档后部对应标题即可停止	SOURCE_VERIFIED	Codex/source-check
Q037	late-file	RVC (Compressed Instructions) — Design 文档后部是否包含“6. Source proposal”这一部分？	"[""RVC (Compressed Instructions) — Design 文档后部是否包含“6. Source proposal”这一部分？""]"	是，文档后部包含“6. Source proposal”部分。	docs/designs/compressed_instruction_support.md	6. Source proposal	6. Source proposal;compressed_instruction_support	V011	2	找到文档后部对应标题即可停止	SOURCE_VERIFIED	Codex/source-check
Q038	late-file	CTA Clustering and Dispatch — Design 文档后部是否包含“7. Source proposals”这一部分？	"[""CTA Clustering and Dispatch — Design 文档后部是否包含“7. Source proposals”这一部分？""]"	是，文档后部包含“7. Source proposals”部分。	docs/designs/cta_clustering_and_dispatch.md	7. Source proposals	7. Source proposals;cta_clustering_and_dispatch	V012	2	找到文档后部对应标题即可停止	SOURCE_VERIFIED	Codex/source-check
Q039	late-file	Implementing a Custom Accelerator ISA Extension in Vortex — Design Guide 文档后部是否包含“9. Decision checklist”这一部分？	"[""Implementing a Custom Accelerator ISA Extension in Vortex — Design Guide 文档后部是否包含“9. Decision checklist”这一部分？""]"	是，文档后部包含“9. Decision checklist”部分。	docs/designs/custom_accelerator_isa_extensions.md	9. Decision checklist	9. Decision checklist;custom_accelerator_isa_extensions	V013	2	找到文档后部对应标题即可停止	SOURCE_VERIFIED	Codex/source-check
Q040	late-file	DXA — Direct eXecution Accelerator (Async Copy + Multicast) — Design 文档后部是否包含“8. Source proposals”这一部分？	"[""DXA — Direct eXecution Accelerator (Async Copy + Multicast) — Design 文档后部是否包含“8. Source proposals”这一部分？""]"	是，文档后部包含“8. Source proposals”部分。	docs/designs/dxa_async_copy_multicast.md	8. Source proposals	8. Source proposals;dxa_async_copy_multicast	V014	2	找到文档后部对应标题即可停止	SOURCE_VERIFIED	Codex/source-check
Q041	late-file	Vortex FPU Design (RTL) 文档后部是否包含“8. Verification & status”这一部分？	"[""Vortex FPU Design (RTL) 文档后部是否包含“8. Verification & status”这一部分？""]"	是，文档后部包含“8. Verification & status”部分。	docs/designs/floating_point_unit.md	8. Verification & status	8. Verification & status;floating_point_unit	V015	2	找到文档后部对应标题即可停止	SOURCE_VERIFIED	Codex/source-check
Q042	late-file	Graphics Hardware Stack (RASTER / TEX / OM) — Design 文档后部是否包含“9. Relationship to the true-GPU plan”这一部分？	"[""Graphics Hardware Stack (RASTER / TEX / OM) — Design 文档后部是否包含“9. Relationship to the true-GPU plan”这一部分？""]"	是，文档后部包含“9. Relationship to the true-GPU plan”部分。	docs/designs/graphics_hardware_stack.md	9. Relationship to the true-GPU plan	9. Relationship to the true-GPU plan;graphics_hardware_stack	V016	2	找到文档后部对应标题即可停止	SOURCE_VERIFIED	Codex/source-check
Q043	late-file	Vortex Graphics Software Stack — Design 文档后部是否包含“5. Single source of truth”这一部分？	"[""Vortex Graphics Software Stack — Design 文档后部是否包含“5. Single source of truth”这一部分？""]"	是，文档后部包含“5. Single source of truth”部分。	docs/designs/graphics_software_stack.md	5. Single source of truth	5. Single source of truth;graphics_software_stack	V017	2	找到文档后部对应标题即可停止	SOURCE_VERIFIED	Codex/source-check
Q044	late-file	Virtual Memory (MMU / TLB / PTW) — Design 文档后部是否包含“9. Source proposals”这一部分？	"[""Virtual Memory (MMU / TLB / PTW) — Design 文档后部是否包含“9. Source proposals”这一部分？""]"	是，文档后部包含“9. Source proposals”部分。	docs/designs/virtual_memory_subsystem.md	9. Source proposals	9. Source proposals;virtual_memory_subsystem	V024	2	找到文档后部对应标题即可停止	SOURCE_VERIFIED	Codex/source-check
