id	category	user_question	search_round_questions	standard_answer	expected_paths	required_quote	allowed_search_terms	expected_match_ids	max_expansions	stop_condition	review_status	reviewer
S011	chinese-natural-language	Vortex 使用什么 GPU 执行模型？	"[""Vortex 使用什么 GPU 执行模型？""]"	Vortex 使用每周期发射一个 warp 的 SIMT 执行模型。	docs/designs/microarchitecture.md	Vortex uses the SIMT (Single Instruction, Multiple Threads) execution model with a single warp issued per cycle.	SIMT;warp	V021	1	取得执行模型原文即可停止	SOURCE_VERIFIED	Codex/source-check
S012	chinese-natural-language	Earlgrey 的 main 时钟频率是多少？	"[""Earlgrey 的 main 时钟频率是多少？""]"	main 时钟频率配置为 100000000。	hw/top_earlgrey/data/top_earlgrey.hjson	name: "main", aon: "no", freq: "100000000"	main;100000000;clocks	O003	1	取得main时钟配置即可停止	SOURCE_VERIFIED	Codex/source-check
S013	chinese-natural-language	哪些时钟组会受到 wfi 的影响？	"[""哪些时钟组会受到 wfi 的影响？""]"	只有 transactional、infrastructural 和 peripheral 时钟组会受到 wfi 影响。	hw/top_earlgrey/ip_autogen/clkmgr/doc/theory_of_operation.md	only transactional, infrastructural and peripheral groups can be influenced by `wfi`	wfi;transactional;peripheral	O012	1	取得受影响时钟组原文即可停止	SOURCE_VERIFIED	Codex/source-check
S014	chinese-natural-language	哪些模块当前允许由软件复位？	"[""哪些模块当前允许由软件复位？""]"	当前允许软件复位的模块是 spi_device、usbdev、spi_host 和 i2c。	hw/top_earlgrey/ip_autogen/rstmgr/doc/theory_of_operation.md	The only blocks currently allowed to software reset are `spi_device`, `usbdev`, `spi_host` and `i2c`.	software reset;spi_device;usbdev	O017	1	取得允许列表即可停止	SOURCE_VERIFIED	Codex/source-check
S015	chinese-natural-language	RV_PLIC 如何完成已经 claim 的中断？	"[""RV_PLIC 如何完成已经 claim 的中断？""]"	目标向 Claim/Complete 寄存器写入中断 ID 来完成中断。	hw/top_earlgrey/ip_autogen/rv_plic/doc/theory_of_operation.md	A target completes the interrupt by writing the ID of the interrupt to the Claim/Complete register	Interrupt Completion;Claim/Complete	O020	1	取得completion步骤即可停止	SOURCE_VERIFIED	Codex/source-check
S016	chinese-natural-language	SRAM 控制器使用什么密码原语进行数据扰码？	"[""SRAM 控制器使用什么密码原语进行数据扰码？""]"	它使用 CTR 模式的 reduced-round PRINCE block cipher。	hw/ip/sram_ctrl/doc/theory_of_operation.md	the scrambling mechanism employs a reduced-round PRINCE block cipher in CTR mode to scramble the data.	Scrambling Primitive;PRINCE;CTR	O029	1	取得扰码算法原文即可停止	SOURCE_VERIFIED	Codex/source-check
S017	late-file	Vortex Cache Subsystem 文档后部是否包含 Configuration parameters？	"[""Vortex Cache Subsystem 文档后部是否包含 Configuration parameters？""]"	是，文档后部包含 Configuration parameters。	docs/designs/cache_subsystem.md	Configuration parameters	Configuration parameters;cache_subsystem	V009	2	找到文档后部对应标题即可停止	SOURCE_VERIFIED	Codex/source-check
S018	late-file	Command Processor 设计文档后部是否包含 11. Source proposals？	"[""Command Processor 设计文档后部是否包含 11. Source proposals？""]"	是，文档后部包含 11. Source proposals。	docs/designs/command_processor.md	11. Source proposals	11. Source proposals;command_processor	V010	2	找到文档后部对应标题即可停止	SOURCE_VERIFIED	Codex/source-check
S019	late-file	Virtual Memory 设计文档后部是否包含 9. Source proposals？	"[""Virtual Memory 设计文档后部是否包含 9. Source proposals？""]"	是，文档后部包含 9. Source proposals。	docs/designs/virtual_memory_subsystem.md	9. Source proposals	9. Source proposals;virtual_memory_subsystem	V024	2	找到文档后部对应标题即可停止	SOURCE_VERIFIED	Codex/source-check
S020	late-file	top_earlgrey.hjson 后部如何描述 verilator target 的物理 pads？	"[""top_earlgrey.hjson 后部如何描述 verilator target 的物理 pads？""]"	verilator chip-level 没有 physical pads。	hw/top_earlgrey/data/top_earlgrey.hjson	The verilator chip-level has no physical pads	verilator;physical pads;top_earlgrey	O003	2	取得文件后部verilator说明即可停止	SOURCE_VERIFIED	Codex/source-check
S021	late-file	chip_testplan.hjson 后部是否定义 chip_sw_exit_test_unlocked_bootstrap？	"[""chip_testplan.hjson 后部是否定义 chip_sw_exit_test_unlocked_bootstrap？""]"	是，文件后部定义了该测试项。	hw/top_earlgrey/data/chip_testplan.hjson	name: chip_sw_exit_test_unlocked_bootstrap	chip_sw_exit_test_unlocked_bootstrap;chip_testplan	O004	2	找到后部测试项名称即可停止	SOURCE_VERIFIED	Codex/source-check
S022	late-file	CLKMGR 寄存器文档后部是否定义 RECOV_ERR_CODE？	"[""CLKMGR 寄存器文档后部是否定义 RECOV_ERR_CODE？""]"	是，文档后部定义了 RECOV_ERR_CODE。	hw/top_earlgrey/ip_autogen/clkmgr/doc/registers.md	RECOV_ERR_CODE	RECOV_ERR_CODE;Recoverable Error code	O011	2	找到后部寄存器标题即可停止	SOURCE_VERIFIED	Codex/source-check
S023	multi-document	Vortex 是什么项目，并采用什么 GPU 执行模型？	"[""Vortex 是什么项目？"",""Vortex 采用什么 GPU 执行模型？""]"	Vortex 是开源 RISC-V GPGPU，采用 SIMT 执行模型。	README.md | docs/designs/microarchitecture.md	Vortex is a full-stack open-source RISC-V GPGPU. || Vortex uses the SIMT (Single Instruction, Multiple Threads) execution model with a single warp issued per cycle.	full-stack open-source RISC-V GPGPU | SIMT;warp	V001,V021	2	两份文档证据都取得后停止	SOURCE_VERIFIED	Codex/source-check
S024	multi-document	Vortex 默认缓存容量如何配置，Command Processor 又使用几条 AXI crossbar？	"[""Vortex 默认缓存容量如何配置？"",""Command Processor 使用几条 AXI crossbar？""]"	默认 icache/dcache 为16KB、L2为1MB、L3为2MB；VX_cp_core构建两条AXI crossbar。	docs/designs/cache_subsystem.md | docs/designs/command_processor.md	icache 16KB, dcache 16KB, L2 1MB, L3 2MB || `VX_cp_core` builds **two** AXI crossbars	icache 16KB;L2 1MB | VX_cp_core;two AXI crossbars	V009,V010	2	两份设计证据都取得后停止	SOURCE_VERIFIED	Codex/source-check
S025	multi-document	Vortex RTL PTW 支持什么地址模式，Runtime API 又如何表示 timeline event？	"[""Vortex RTL PTW 支持什么地址模式？"",""Vortex Runtime API 如何表示 timeline event？""]"	RTL PTW 仅支持Sv32；Runtime API使用带单调计数器和条件变量的vx_event。	docs/designs/virtual_memory_subsystem.md | docs/designs/vortex_runtime_api.md	the **RTL PTW is Sv32-only** || `vx_event` is a host-side refcounted struct with a `std::atomic` monotonic counter + condvar	RTL PTW;Sv32-only | vx_event;monotonic counter	V024,V025	2	两份文档证据都取得后停止	SOURCE_VERIFIED	Codex/source-check
S026	multi-document	OpenTitan 的 wfi 时钟门控与软件复位分别有哪些限制？	"[""wfi 时钟门控会影响哪些时钟组？"",""哪些leaf reset可以由软件控制？""]"	只有三类时钟组受wfi影响；软件只能控制少数明确例外的leaf reset。	hw/top_earlgrey/ip_autogen/clkmgr/doc/theory_of_operation.md | hw/top_earlgrey/ip_autogen/rstmgr/doc/theory_of_operation.md	only transactional, infrastructural and peripheral groups can be influenced by `wfi` || Certain leaf resets can be directly controlled by software.	wfi;clock gating | Software Controlled Resets;leaf resets	O012,O017	2	时钟和复位两份证据都取得后停止	SOURCE_VERIFIED	Codex/source-check
S027	multi-document	Earlgrey 的 uart0 基地址和 main 时钟频率分别是多少？	"[""Earlgrey 的 uart0 基地址是多少？"",""Earlgrey 的 main 时钟频率是多少？""]"	uart0 基地址为0x40000000，main时钟频率为100000000。	hw/top_earlgrey/doc/memory_map.md | hw/top_earlgrey/data/top_earlgrey.hjson	`0x40000000` || name: "main", aon: "no", freq: "100000000"	uart0;0x40000000 | main;100000000	O002,O003	2	地址与时钟两份证据都取得后停止	SOURCE_VERIFIED	Codex/source-check
S028	multi-document	RV_PLIC 如何完成中断，ASIC pinout 中哪个pad是系统复位？	"[""RV_PLIC 如何完成中断？"",""ASIC pinout 中哪个pad是系统复位？""]"	写Claim/Complete寄存器完成中断；POR_N pad用于System reset。	hw/top_earlgrey/ip_autogen/rv_plic/doc/theory_of_operation.md | hw/top_earlgrey/ip_autogen/pinmux/doc/pinout_asic.md	Claim/Complete register || POR_N	Interrupt Completion;Claim/Complete | POR_N;System reset	O020,O023	2	中断和pinout两份证据都取得后停止	SOURCE_VERIFIED	Codex/source-check
S029	similar-distractor	CLKMGR 的寄存器定义在哪里？	"[""CLKMGR 的寄存器定义在哪里？""]"	目标文件是 hw/top_earlgrey/ip_autogen/clkmgr/doc/registers.md。	hw/top_earlgrey/ip_autogen/clkmgr/doc/registers.md	Registers	CLKMGR;registers	O011	1	从相似文件中定位唯一目标Path即可停止	SOURCE_VERIFIED	Codex/source-check
S030	similar-distractor	CLKMGR 的工作原理在哪里说明？	"[""CLKMGR 的工作原理在哪里说明？""]"	目标文件是 hw/top_earlgrey/ip_autogen/clkmgr/doc/theory_of_operation.md。	hw/top_earlgrey/ip_autogen/clkmgr/doc/theory_of_operation.md	Theory of Operation	CLKMGR;Theory of Operation	O012	1	从相似文件中定位唯一目标Path即可停止	SOURCE_VERIFIED	Codex/source-check
S031	similar-distractor	RSTMGR 的复位拓扑和工作原理在哪里？	"[""RSTMGR 的复位拓扑和工作原理在哪里？""]"	目标文件是 hw/top_earlgrey/ip_autogen/rstmgr/doc/theory_of_operation.md。	hw/top_earlgrey/ip_autogen/rstmgr/doc/theory_of_operation.md	Reset Topology	RSTMGR;Reset Topology	O017	1	从相似文件中定位唯一目标Path即可停止	SOURCE_VERIFIED	Codex/source-check
S032	similar-distractor	RV_PLIC 的优先级、claim 和 completion 机制在哪里？	"[""RV_PLIC 的优先级、claim 和 completion 机制在哪里？""]"	目标文件是 hw/top_earlgrey/ip_autogen/rv_plic/doc/theory_of_operation.md。	hw/top_earlgrey/ip_autogen/rv_plic/doc/theory_of_operation.md	Interrupt Completion	RV_PLIC;Interrupt Completion	O020	1	从相似文件中定位唯一目标Path即可停止	SOURCE_VERIFIED	Codex/source-check
S033	no-answer	知识库中是否说明了 HBM3E PHY 的训练流程？	"[""知识库中是否说明了 HBM3E PHY 的训练流程？""]"	当前评测知识库中没有可支持该问题的证据。		NONE	HBM3E		1	确认所有候选均无有效证据后停止并明确无答案	SOURCE_VERIFIED	Codex/source-check
S034	no-answer	知识库中是否包含 PCIe 6.0 控制器的 LTSSM 设计？	"[""知识库中是否包含 PCIe 6.0 控制器的 LTSSM 设计？""]"	当前评测知识库中没有可支持该问题的证据。		NONE	PCIe 6.0		1	确认所有候选均无有效证据后停止并明确无答案	SOURCE_VERIFIED	Codex/source-check
S035	no-answer	知识库中是否描述了 CXL 3.0 一致性协议？	"[""知识库中是否描述了 CXL 3.0 一致性协议？""]"	当前评测知识库中没有可支持该问题的证据。		NONE	CXL 3.0		1	确认所有候选均无有效证据后停止并明确无答案	SOURCE_VERIFIED	Codex/source-check
S036	no-answer	知识库中是否有 UCIe die-to-die 适配器设计？	"[""知识库中是否有 UCIe die-to-die 适配器设计？""]"	当前评测知识库中没有可支持该问题的证据。		NONE	UCIe		1	确认所有候选均无有效证据后停止并明确无答案	SOURCE_VERIFIED	Codex/source-check
S037	multiple-expansions	请确认 Vortex Cache Subsystem 文档既介绍主题本身，也覆盖后部的 Configuration parameters。	"[""请查找 Vortex Cache Subsystem 的标题证据。"",""请查找 Configuration parameters 的原文依据。""]"	该文档标题为Vortex Cache Subsystem，后部包含Configuration parameters。	docs/designs/cache_subsystem.md	Vortex Cache Subsystem || Configuration parameters	Vortex Cache Subsystem | Configuration parameters	V009	2	标题和后部章节两处证据均已取得即可停止	SOURCE_VERIFIED	Codex/source-check
S038	multiple-expansions	请确认 Command Processor 设计文档既介绍主题本身，也覆盖后部的 11. Source proposals。	"[""请查找 Command Processor (CP) — Design 的标题证据。"",""请查找 11. Source proposals 的原文依据。""]"	该文档标题为Command Processor (CP) — Design，后部包含11. Source proposals。	docs/designs/command_processor.md	Command Processor (CP) — Design || 11. Source proposals	Command Processor (CP) — Design | 11. Source proposals	V010	2	标题和后部章节两处证据均已取得即可停止	SOURCE_VERIFIED	Codex/source-check
S039	multiple-expansions	请确认 Virtual Memory 设计文档既介绍主题本身，也覆盖后部的 9. Source proposals。	"[""请查找 Virtual Memory (MMU / TLB / PTW) — Design 的标题证据。"",""请查找 9. Source proposals 的原文依据。""]"	该文档标题为Virtual Memory设计，后部包含9. Source proposals。	docs/designs/virtual_memory_subsystem.md	Virtual Memory (MMU / TLB / PTW) — Design || 9. Source proposals	Virtual Memory (MMU / TLB / PTW) — Design | 9. Source proposals	V024	2	标题和后部章节两处证据均已取得即可停止	SOURCE_VERIFIED	Codex/source-check
S040	multiple-expansions	vortex2.h 是否同时声明了设备计数和事件创建接口？	"[""请查找 vortex2.h 的 vx_device_count 声明。"",""请查找 vortex2.h 的 vx_event_create 声明。""]"	是，文件中分别声明了vx_device_count和vx_event_create。	sw/runtime/include/vortex2.h	vx_result_t vx_device_count (uint32_t* out_count); || vx_result_t vx_event_create (vx_device_h dev, vx_event_h* out);	vx_device_count | vx_event_create	V052	2	两个远距离函数声明都取得后停止	SOURCE_VERIFIED	Codex/source-check
